Sección;ID Sección;SKU Sección;SKU Name Sección;Nombre;Precio;SKU;SKU Name;Descripción;Imagen;ID;GTIN;Stock;Global Catalog ID;Indice
Sándwiches grandes;977162;;;Sándwich grande completo;9600.0;;;Carne a elección: churrasco o ave, tomate, palta, mayonesa, salsa americana y chucrut.;https://images.deliveryhero.io/image/pedidosya/products/df46b30a-7310-4d13-a2b1-4cdb60970092.jpg;9454337;;;;2
Sándwiches grandes;977162;;;Sándwich grande chacarero;9600.0;;;Churrasco o ave, tomate, poroto verde, mayonesa casera, aji verde a elección.;https://images.deliveryhero.io/image/pedidosya/products/4a3db4e7-b1cf-4866-b202-ea7856ac2d71.jpg;9454338;;;;4
Sándwiches grandes;977162;;;Sándwich grande brasileño;9990.0;;;Carne a elección, queso y palta.;https://images.deliveryhero.io/image/pedidosya/products/57ed3351-ca89-4753-b14c-7922dfb22f45.jpg;9454339;;;;5
Sándwiches grandes;977162;;;Sándwich grande a lo pobre;10990.0;;;Carne a elección, huevo, cebolla frita y queso.;;9454340;;;;9
Sándwiches grandes;977162;;;Sándwich grande luco;9990.0;;;Churrasco o ave, queso gauda.;;9454342;;;;7
Sándwiches grandes;977162;;;Sándwich grande Ñam;7500.0;;;Churrasco o ave, tomate, palta, queso, champiñon, choclo, mayonesa casera. Imperdible.;;9454343;;;;11
Hamburguesas;977173;;;Hamburguesa sola;2500.0;;;Hamburguesa y pan.;;9454410;;;;1
Hamburguesas;977173;;;Hamburguesa italiana;4990.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/3d388d55-a21d-459b-bbf2-03cb13c9b56d.jpg;9454411;;;;4
Hamburguesas;977173;;;Hamburguesa gringa;5600.0;;;Carne a elección, tomate, pepinillo, lechuga, cebolla y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/f415d338-beb0-4943-b4a4-c4dc09110b12.jpg;9454412;;;;3
Hamburguesas;977173;;;Hamburguesa rodeo;5950.0;;;Carne a elección, salsa barbacoa, tocino, queso y tomate.;;9454413;;;;5
Hamburguesas;977173;;;Hamburguesa mexicana;4990.0;;;Carne a elección, guacamole y mayonesa.;;9454414;;;;9
Hamburguesas;977173;;;Hamburguesa completa;4990.0;;;Carne a elección, tomate, palta, mayonesa, salsa americana y chucrut.;;9454415;;;;2
Hamburguesas;977173;;;Hamburguesa chacarera;4990.0;;;Carne a elección, tomate, mayonesa, poroto verde y ají verde.;https://images.deliveryhero.io/image/pedidosya/products/a80c7529-f04b-4e6a-b035-3aae626de6b7.jpg;9454416;;;;7
Hamburguesas;977173;;;Hamburguesa brasileña;5600.0;;;Carne a elección, queso y palta.;;9454418;;;;7
Hamburguesas;977173;;;Hamburguesa a lo pobre;5600.0;;;Carne a elección, huevo, cebolla frita y queso.;;9454420;;;;8
Hamburguesas;977173;;;Hamburguesa luco;5200.0;;;Carne a elección y queso.;;9454421;;;;10
Hamburguesas;977173;;;Hamburguesa Ñam;6500.0;;;Carne a elección, tomate, palta, queso, champignon, choclo y mayonesa.;;9454422;;;;11
Minutas;977182;;;Papas fritas;2700.0;;;Papas fritas.;https://images.deliveryhero.io/image/pedidosya/products/5ac714e7-c96c-4a4d-a981-fa2631b79937.jpg;9454474;;;;1
Minutas;977182;;;Fajita;4700.0;;;Carne a elección, palta, tomate, choclo, mayonesa.;;9454497;;;;4
Minutas;977182;;;Empanada de queso (3 unidades);2990.0;;;Medialunas chicas.;;9454502;;;;6
Minutas;977182;;;Nuggets;2900.0;;;;;9454504;;;;9
Sección Bebidas;977191;;;Bebida Pepsi 250 Cc;1400.0;;;Mini.;https://images.deliveryhero.io/image/pedidosya/products/506653a8-a3e2-43fe-8fe6-85ce170ae01c.jpg;9454529;;;;1
Sección Bebidas;977191;;;Bebida Bilz 250 Cc;1400.0;;;Mini.;https://images.deliveryhero.io/image/pedidosya/products/a7172ece-4af6-4680-acd5-7e9a442adc33.jpg;9454532;;;;2
Sección Bebidas;977191;;;Bebida Crush 250 Cc;1400.0;;;Mini.;https://images.deliveryhero.io/image/pedidosya/products/b7a44742-544c-4a07-86b5-01bbcdd7add4.jpg;9454533;;;;14
Sección Bebidas;977191;;;Bebida Limón Soda 250 Cc;1400.0;;;Mini.;https://images.deliveryhero.io/image/pedidosya/products/7564a531-0133-4138-b059-f95bdd34584e.jpg;9454538;;;;7
Sección Bebidas;977191;;;Bebida Pap 250 Cc;1400.0;;;Mini.;https://images.deliveryhero.io/image/pedidosya/products/147405c4-a77a-46a1-94a5-dadc0c979589.jpg;9454541;;;;3
Sección Bebidas;977191;;;Bebida Lata Coca Cola;2200.0;;;350 ml.;https://images.deliveryhero.io/image/pedidosya/products/d8b7f207-a4ec-42b6-8506-4eba2e4165f8.jpg;9454544;;;;8
Sección Bebidas;977191;;;Gaseosa Bilz Lata;2200.0;;;350.;https://images.deliveryhero.io/image/pedidosya/products/4dd9fce6-fe9f-4300-9ee1-3e2238f39867;9454547;7,80162E+12;;;4
Sección Bebidas;977191;;;Bebida Lata Crush 350Cc;2200.0;;;350.;https://images.deliveryhero.io/image/pedidosya/products/b7dbc3a7-c629-4ea1-b842-c797fa1360e3.jpg;9454552;7,80162E+12;;;5
Sección Bebidas;977191;;;Bebida Lata Limón Soda 350Ml;2200.0;;;350.;https://images.deliveryhero.io/image/pedidosya/products/a251daaf-6265-49c7-b65b-a5635e2e837c.jpg;9454556;7,80162E+12;;;6
Sección Bebidas;977191;;;Bebida Lata 350 Cc Pap;2200.0;;;;https://images.deliveryhero.io/image/pedidosya/products/dd8257b6-10a3-492d-8627-4900b4d5c97f;9454559;7,80162E+12;;;9
Sección Bebidas;977191;;;Bebida Ccu 500Cc Variedades;2500.0;;;500ml.;https://images.deliveryhero.io/image/pedidosya/products/7b423d0d-236b-4736-8bf9-b53ddb460f4a.jpg;9454570;;;;11
Sección Bebidas;977191;;;Bebida Coca Cola Medio;2500.0;;;590 ml.;https://images.deliveryhero.io/image/pedidosya/products/95394b2c-8443-4fa7-be68-6434e0f77db8.jpg;9454572;;;;10
Sección Bebidas;977191;;;Bebida Ccu 1,5L Variedades;2990.0;;;Litro y medio.;https://images.deliveryhero.io/image/pedidosya/products/61c93c82-7b34-4a16-9f92-98d7de635361.jpg;9454592;;;;12
Sección Bebidas;977191;;;Jugo Watt´s Durazno 300Cc;1600.0;;;Boca ancha.;https://images.deliveryhero.io/image/pedidosya/products/8415326e-b9b3-43b2-ac43-d01fbcf58693.jpg;9454612;;;;17
Sección Bebidas;977191;;;Agua Mineral Vital 500Ml;1200.0;;;;https://images.deliveryhero.io/image/pedidosya/products/bbdfca4d-247f-45da-9416-ea0b10523e99.jpg;9454614;;;;13
FLORECEN LOS DESCUENTOS;5347612;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;94707770;;;;1
GOLAZOS DE PEDIDOSYA OCTUBRE;5406133;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;95384403;;;;1
DESCUENTOS DE MIEDO 2022;5457627;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;96100458;;;;1
GOLAZOS DE PEDIDOSYA NOVIEMBRE;5483735;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;96374553;;;;1
ANIVERSARIO 13 AÑOS;5571409;;;Sándwich grande italiano;6650.0;;;Carne a elección, tomate, palta y mayonesa.;https://images.deliveryhero.io/image/pedidosya/products/a31ef869-8688-4ef2-901c-cfc653f7b597.jpg;98233672;;;;2
